premise,hypothesis,gold_label,model1_pred_label,model2_pred_label,section
Had the four peppers that fell gone bad?,There are exactly four peppers that fell.,entailment,neutral,entailment,all_n_presupposition
The four pedestrians who should perform admired the convertibles.,There are exactly four pedestrians who should perform.,entailment,neutral,entailment,all_n_presupposition
The seven rabbits that weren't existing might have been falling asleep.,There aren't exactly seven rabbits that weren't existing.,contradiction,contradiction,contradiction,all_n_presupposition
"If all eight skateboards that hadn't annoyed Amelia were astounding Christina, it's okay.",There are exactly eight skateboards that hadn't annoyed Amelia.,entailment,neutral,entailment,all_n_presupposition
The six guests that had badgered a lot of analyses to shock people haven't skated around these public parks.,There are exactly six guests that had badgered a lot of analyses to shock people.,entailment,neutral,entailment,all_n_presupposition
The eight shirts that can't disturb Dennis disappear.,There are exactly eight shirts that can't disturb Dennis.,entailment,neutral,entailment,all_n_presupposition
"If all four waiters that were boring Paul have telephoned, it's okay.",There aren't exactly four waiters that were boring Paul.,contradiction,contradiction,contradiction,all_n_presupposition
The two boys that divorced are needing to bike to a mountain.,There are dozens of boys that divorced.,contradiction,contradiction,contradiction,all_n_presupposition
The six people who had failed to litter have kissed customers.,There are exactly six boys who had failed to litter.,neutral,contradiction,neutral,all_n_presupposition
All four waiters that were boring Paul might have telephoned.,There are exactly four pedestrians that were boring Paul.,neutral,contradiction,neutral,all_n_presupposition
The three girls that drive to some closets don't prefer many screens to crack.,There are exactly three guys that drive to some closets.,neutral,contradiction,neutral,all_n_presupposition
"If all ten reports that can bore some waiter are disagreeing with Naomi, it's okay.",There are exactly ten reports that can bore some waiter.,entailment,neutral,entailment,all_n_presupposition
The five waiters that approached Paul might depart.,The five waiters that approached Paul depart.,neutral,contradiction,neutral,all_n_presupposition
"If the two boys that divorced are needing to bike to a mountain, it's okay.",There are exactly two museums that divorced.,neutral,contradiction,neutral,all_n_presupposition
Have all seven waiters that were scaring Suzanne won?,There are exactly seven waiters that were scaring Suzanne.,entailment,neutral,entailment,all_n_presupposition
The two boys that divorced are needing to bike to a mountain.,There are exactly two boys that divorced.,entailment,neutral,entailment,all_n_presupposition
All ten guys that proved to boast were divorcing.,There are exactly ten senators that proved to boast.,neutral,contradiction,neutral,all_n_presupposition
The four pedestrians who should perform might have admired the convertibles.,There are exactly four pedestrians who should perform.,entailment,neutral,entailment,all_n_presupposition
Did all eight associations that haven't collaborated induce Barbara's handymen to forget Helen?,There aren't exactly eight associations that haven't collaborated.,contradiction,contradiction,contradiction,all_n_presupposition
The four peppers that fell might have gone bad.,There are exactly four apples that fell.,neutral,contradiction,neutral,all_n_presupposition
The four pedestrians that were visiting Brenda might sigh.,The four pedestrians that were visiting Brenda sigh.,neutral,contradiction,neutral,all_n_presupposition
Did all three libraries that haven't needed to listen to George forget the waiter?,There are exactly three libraries that haven't needed to listen to George.,entailment,neutral,entailment,all_n_presupposition
The five waiters that approached Paul might depart.,There are exactly five doctors that approached Paul.,neutral,contradiction,neutral,all_n_presupposition
All eight projectors that did distract Benjamin fade.,There are exactly eight candles that did distract Benjamin.,neutral,contradiction,neutral,all_n_presupposition
"If the eight shirts that can't disturb Dennis disappear, it's okay.",There are exactly eight shirts that can't disturb Dennis.,entailment,neutral,entailment,all_n_presupposition
All nine teenagers that haven't spurred many nieces of Liam to explain everything haven't observed Jacqueline.,All nine teenagers that haven't spurred many nieces of Liam to explain everything have observed Jacqueline.,contradiction,contradiction,contradiction,all_n_presupposition
"If the five dishes that astounded Kenneth chip, it's okay.",There are more than five dishes that astounded Kenneth.,contradiction,contradiction,contradiction,all_n_presupposition
"If the three girls that drive to some closets prefer many screens to crack, it's okay.",There are exactly three girls that drive to some closets.,entailment,neutral,entailment,all_n_presupposition
All eight projectors that did distract Benjamin fade.,There aren't exactly eight projectors that did distract Benjamin.,contradiction,contradiction,contradiction,all_n_presupposition
"If the four pedestrians who should perform admired the convertibles, it's okay.",There are exactly four companies who should perform.,neutral,contradiction,neutral,all_n_presupposition
Do all seven senators that were fleeing from Daniel clean the scarves?,There are exactly seven customers that were fleeing from Daniel.,neutral,contradiction,neutral,all_n_presupposition
All ten ladies that discover those doors might judge Nina to mess up a rug.,There are exactly ten teenagers that discover those doors.,neutral,contradiction,neutral,all_n_presupposition
Are the two mouths that didn't appear irritating Kathleen?,The two mouths that didn't appear are irritating Kathleen.,neutral,neutral,neutral,all_n_presupposition
All seven waiters that were scaring Suzanne have won.,There are exactly seven waiters that were scaring Suzanne.,entailment,neutral,entailment,all_n_presupposition
"If the four pedestrians that were visiting Brenda sigh, it's okay.",The four pedestrians that were visiting Brenda sigh.,neutral,entailment,neutral,all_n_presupposition
"If the four peppers that fell had gone bad, it's okay.",There are exactly four peppers that fell.,entailment,neutral,neutral,all_n_presupposition
"If all eight associations that haven't collaborated induced Barbara's handymen to forget Helen, it's okay.",There are exactly eight women that haven't collaborated.,neutral,contradiction,neutral,all_n_presupposition
"If the four libraries that donate hate Marcus, it's okay.",There are exactly four libraries that donate.,entailment,neutral,entailment,all_n_presupposition
All four waiters that were boring Paul haven't telephoned.,There are exactly four waiters that were boring Paul.,entailment,neutral,entailment,all_n_presupposition
"If all eight associations that haven't collaborated induced Barbara's handymen to forget Helen, it's okay.",All eight associations that haven't collaborated induced Barbara's handymen to forget Helen.,neutral,entailment,neutral,all_n_presupposition
The five dishes that astounded Kenneth chip.,There are exactly five dishes that astounded Kenneth.,entailment,neutral,entailment,all_n_presupposition
The five waiters that approached Paul depart.,There are exactly six waiters that approached Paul.,contradiction,contradiction,contradiction,all_n_presupposition
The two boys that divorced might be needing to bike to a mountain.,There are dozens of boys that divorced.,contradiction,contradiction,contradiction,all_n_presupposition
"If all ten ladies that discover those doors judge Nina to mess up a rug, it's okay.",There are exactly ten teenagers that discover those doors.,neutral,contradiction,neutral,all_n_presupposition
The four peppers that fell hadn't gone bad.,There are more than four peppers that fell.,contradiction,contradiction,contradiction,all_n_presupposition
All four ladies that didn't bother the Impressionists didn't mutter.,There are exactly four ladies that didn't bother the Impressionists.,entailment,entailment,entailment,all_n_presupposition
The four pedestrians who should perform might have admired the convertibles.,The four pedestrians who should perform admired the convertibles.,neutral,neutral,neutral,all_n_presupposition
"If all nine doctors who reunite wash, it's okay.",There are exactly nine senators who reunite.,neutral,contradiction,neutral,all_n_presupposition
The two boys that divorced are needing to bike to a mountain.,There are exactly two museums that divorced.,neutral,contradiction,neutral,all_n_presupposition
"If the nine adults who ascertained Carmen to dislike a lot of high schools hunt, it's okay.",There are exactly nine adults who ascertained Carmen to dislike a lot of high schools.,entailment,neutral,entailment,all_n_presupposition
Do both adults that were appearing date?,There are exactly two adults that were appearing,entailment,neutral,entailment,both_presupposition
Both actors who noticed Tonya had preferred Becca to come here.,There are exactly two actors who noticed Tonya,entailment,neutral,entailment,both_presupposition
Both cashiers that exited the school might listen to Brenda.,There are exactly three cashiers that exited the school.,contradiction,contradiction,contradiction,both_presupposition
"If both waiters that can't move paint, it's okay.",There are exactly two waiters that can't move,entailment,neutral,entailment,both_presupposition
Both actors that climbed up many ladders hadn't argued.,There are exactly two actors that climbed up many ladders,entailment,neutral,entailment,both_presupposition
Both customers who imagined Samuel hid all hills do litter.,There are exactly two customers who imagined Samuel hid all hills,entailment,neutral,entailment,both_presupposition
"If both patients who weren't continuing to listen to Sabrina approached Samantha, it's okay.",There aren't exactly two patients who weren't continuing to listen to Sabrina,contradiction,contradiction,contradiction,both_presupposition
Both drivers that shout do leave Theresa.,There are more than two drivers that shout.,contradiction,contradiction,contradiction,both_presupposition
Both actresses that argue about James complained about Stephen.,There are exactly two teenagers that argue about James,neutral,contradiction,neutral,both_presupposition
Both patients who weren't continuing to listen to Sabrina might have approached Samantha.,There are exactly two pedestrians who weren't continuing to listen to Sabrina,neutral,neutral,neutral,both_presupposition
Both actresses that can't forfeit weren't pressing the granddaughter of Randolf to come here.,There are exactly two boys that can't forfeit,neutral,contradiction,neutral,both_presupposition
"If both guys who came here departed, it's okay.",There are exactly two guys who came here,entailment,neutral,entailment,both_presupposition
Both waiters that have alarmed the cashier might have urged Lucille's teacher to question all governments.,Both waiters that have alarmed the cashier urged Lucille's teacher to question all governments.,neutral,neutral,neutral,both_presupposition
"If both drivers that shout do leave Theresa, it's okay.",There are exactly two students that shout,neutral,contradiction,neutral,both_presupposition
Had both waiters that might conceal a cashier trained?,There are exactly two waiters that might conceal a cashier,entailment,neutral,entailment,both_presupposition
Both drivers that shout do leave Theresa.,There are exactly two drivers that shout,entailment,neutral,entailment,both_presupposition
Both gloves that aren't loosening do fray.,There are exactly two socks that aren't loosening,neutral,contradiction,neutral,both_presupposition
Both actors who noticed Tonya might have preferred Becca to come here.,There are exactly two actors who noticed Tonya,entailment,neutral,entailment,both_presupposition
