premise,hypothesis,trigger,trigger1,trigger2,presupposition,gold_label,UID,pairID,paradigmID,section
All ten guys that proved to boast were divorcing.,There are exactly ten guys that proved to boast.,unembedded,Not_In_Example,Not_In_Example,positive,0,all_n_presupposition,0e,0,all_n_presupposition
All ten guys that proved to boast were divorcing.,There are exactly eleven guys that proved to boast.,unembedded,Not_In_Example,Not_In_Example,negated,2,all_n_presupposition,1c,0,all_n_presupposition
All ten guys that proved to boast were divorcing.,There are exactly ten senators that proved to boast.,unembedded,Not_In_Example,Not_In_Example,neutral,1,all_n_presupposition,2n,0,all_n_presupposition
All ten guys that proved to boast weren't divorcing.,There are exactly ten guys that proved to boast.,negated,Not_In_Example,Not_In_Example,positive,0,all_n_presupposition,3e,0,all_n_presupposition
All ten guys that proved to boast weren't divorcing.,There are exactly eleven guys that proved to boast.,negated,Not_In_Example,Not_In_Example,negated,2,all_n_presupposition,4c,0,all_n_presupposition
All ten guys that proved to boast weren't divorcing.,There are exactly ten senators that proved to boast.,negated,Not_In_Example,Not_In_Example,neutral,1,all_n_presupposition,5n,0,all_n_presupposition
Were all ten guys that proved to boast divorcing?,There are exactly ten guys that proved to boast.,interrogative,Not_In_Example,Not_In_Example,positive,0,all_n_presupposition,6e,0,all_n_presupposition
Were all ten guys that proved to boast divorcing?,There are exactly eleven guys that proved to boast.,interrogative,Not_In_Example,Not_In_Example,negated,2,all_n_presupposition,7c,0,all_n_presupposition
Were all ten guys that proved to boast divorcing?,There are exactly ten senators that proved to boast.,interrogative,Not_In_Example,Not_In_Example,neutral,1,all_n_presupposition,8n,0,all_n_presupposition
All ten guys that proved to boast might have been divorcing.,There are exactly ten guys that proved to boast.,modal,Not_In_Example,Not_In_Example,positive,0,all_n_presupposition,9e,0,all_n_presupposition
All ten guys that proved to boast might have been divorcing.,There are exactly eleven guys that proved to boast.,modal,Not_In_Example,Not_In_Example,negated,2,all_n_presupposition,10c,0,all_n_presupposition
All ten guys that proved to boast might have been divorcing.,There are exactly ten senators that proved to boast.,modal,Not_In_Example,Not_In_Example,neutral,1,all_n_presupposition,11n,0,all_n_presupposition
"If all ten guys that proved to boast were divorcing, it's okay.",There are exactly ten guys that proved to boast.,conditional,Not_In_Example,Not_In_Example,positive,0,all_n_presupposition,12e,0,all_n_presupposition
"If all ten guys that proved to boast were divorcing, it's okay.",There are exactly eleven guys that proved to boast.,conditional,Not_In_Example,Not_In_Example,negated,2,all_n_presupposition,13c,0,all_n_presupposition
"If all ten guys that proved to boast were divorcing, it's okay.",There are exactly ten senators that proved to boast.,conditional,Not_In_Example,Not_In_Example,neutral,1,all_n_presupposition,14n,0,all_n_presupposition
All ten guys that proved to boast weren't divorcing.,All ten guys that proved to boast were divorcing.,Not_In_Example,negated,unembedded,Not_In_Example,2,all_n_presupposition,15c,0,all_n_presupposition
Were all ten guys that proved to boast divorcing?,All ten guys that proved to boast were divorcing.,Not_In_Example,interrogative,unembedded,Not_In_Example,1,all_n_presupposition,16n,0,all_n_presupposition
All ten guys that proved to boast might have been divorcing.,All ten guys that proved to boast were divorcing.,Not_In_Example,modal,unembedded,Not_In_Example,1,all_n_presupposition,17n,0,all_n_presupposition
"If all ten guys that proved to boast were divorcing, it's okay.",All ten guys that proved to boast were divorcing.,Not_In_Example,conditional,unembedded,Not_In_Example,1,all_n_presupposition,18n,0,all_n_presupposition
All ten reports that can bore some waiter are disagreeing with Naomi.,There are exactly ten reports that can bore some waiter.,unembedded,Not_In_Example,Not_In_Example,positive,0,all_n_presupposition,19e,1,all_n_presupposition
All ten reports that can bore some waiter are disagreeing with Naomi.,There are exactly eleven reports that can bore some waiter.,unembedded,Not_In_Example,Not_In_Example,negated,2,all_n_presupposition,20c,1,all_n_presupposition
All ten reports that can bore some waiter are disagreeing with Naomi.,There are exactly ten waitresses that can bore some waiter.,unembedded,Not_In_Example,Not_In_Example,neutral,1,all_n_presupposition,21n,1,all_n_presupposition
All ten reports that can bore some waiter aren't disagreeing with Naomi.,There are exactly ten reports that can bore some waiter.,negated,Not_In_Example,Not_In_Example,positive,0,all_n_presupposition,22e,1,all_n_presupposition
All ten reports that can bore some waiter aren't disagreeing with Naomi.,There are exactly eleven reports that can bore some waiter.,negated,Not_In_Example,Not_In_Example,negated,2,all_n_presupposition,23c,1,all_n_presupposition
All ten reports that can bore some waiter aren't disagreeing with Naomi.,There are exactly ten waitresses that can bore some waiter.,negated,Not_In_Example,Not_In_Example,neutral,1,all_n_presupposition,24n,1,all_n_presupposition
Are all ten reports that can bore some waiter disagreeing with Naomi?,There are exactly ten reports that can bore some waiter.,interrogative,Not_In_Example,Not_In_Example,positive,0,all_n_presupposition,25e,1,all_n_presupposition
Are all ten reports that can bore some waiter disagreeing with Naomi?,There are exactly eleven reports that can bore some waiter.,interrogative,Not_In_Example,Not_In_Example,negated,2,all_n_presupposition,26c,1,all_n_presupposition
Are all ten reports that can bore some waiter disagreeing with Naomi?,There are exactly ten waitresses that can bore some waiter.,interrogative,Not_In_Example,Not_In_Example,neutral,1,all_n_presupposition,27n,1,all_n_presupposition
All ten reports that can bore some waiter might be disagreeing with Naomi.,There are exactly ten reports that can bore some waiter.,modal,Not_In_Example,Not_In_Example,positive,0,all_n_presupposition,28e,1,all_n_presupposition
All ten reports that can bore some waiter might be disagreeing with Naomi.,There are exactly eleven reports that can bore some waiter.,modal,Not_In_Example,Not_In_Example,negated,2,all_n_presupposition,29c,1,all_n_presupposition
All ten reports that can bore some waiter might be disagreeing with Naomi.,There are exactly ten waitresses that can bore some waiter.,modal,Not_In_Example,Not_In_Example,neutral,1,all_n_presupposition,30n,1,all_n_presupposition
"If all ten reports that can bore some waiter are disagreeing with Naomi, it's okay.",There are exactly ten reports that can bore some waiter.,conditional,Not_In_Example,Not_In_Example,positive,0,all_n_presupposition,31e,1,all_n_presupposition
"If all ten reports that can bore some waiter are disagreeing with Naomi, it's okay.",There are exactly eleven reports that can bore some waiter.,conditional,Not_In_Example,Not_In_Example,negated,2,all_n_presupposition,32c,1,all_n_presupposition
"If all ten reports that can bore some waiter are disagreeing with Naomi, it's okay.",There are exactly ten waitresses that can bore some waiter.,conditional,Not_In_Example,Not_In_Example,neutral,1,all_n_presupposition,33n,1,all_n_presupposition
All ten reports that can bore some waiter aren't disagreeing with Naomi.,All ten reports that can bore some waiter are disagreeing with Naomi.,Not_In_Example,negated,unembedded,Not_In_Example,2,all_n_presupposition,34c,1,all_n_presupposition
Are all ten reports that can bore some waiter disagreeing with Naomi?,All ten reports that can bore some waiter are disagreeing with Naomi.,Not_In_Example,interrogative,unembedded,Not_In_Example,1,all_n_presupposition,35n,1,all_n_presupposition
All ten reports that can bore some waiter might be disagreeing with Naomi.,All ten reports that can bore some waiter are disagreeing with Naomi.,Not_In_Example,modal,unembedded,Not_In_Example,1,all_n_presupposition,36n,1,all_n_presupposition
"If all ten reports that can bore some waiter are disagreeing with Naomi, it's okay.",All ten reports that can bore some waiter are disagreeing with Naomi.,Not_In_Example,conditional,unembedded,Not_In_Example,1,all_n_presupposition,37n,1,all_n_presupposition
The five waiters that approached Paul depart.,There are exactly five waiters that approached Paul.,unembedded,Not_In_Example,Not_In_Example,positive,0,all_n_presupposition,38e,2,all_n_presupposition
The five waiters that approached Paul depart.,There are exactly six waiters that approached Paul.,unembedded,Not_In_Example,Not_In_Example,negated,2,all_n_presupposition,39c,2,all_n_presupposition
The five waiters that approached Paul depart.,There are exactly five doctors that approached Paul.,unembedded,Not_In_Example,Not_In_Example,neutral,1,all_n_presupposition,40n,2,all_n_presupposition
The five waiters that approached Paul don't depart.,There are exactly five waiters that approached Paul.,negated,Not_In_Example,Not_In_Example,positive,0,all_n_presupposition,41e,2,all_n_presupposition
The five waiters that approached Paul don't depart.,There are exactly six waiters that approached Paul.,negated,Not_In_Example,Not_In_Example,negated,2,all_n_presupposition,42c,2,all_n_presupposition
The five waiters that approached Paul don't depart.,There are exactly five doctors that approached Paul.,negated,Not_In_Example,Not_In_Example,neutral,1,all_n_presupposition,43n,2,all_n_presupposition
Do the five waiters that approached Paul depart?,There are exactly five waiters that approached Paul.,interrogative,Not_In_Example,Not_In_Example,positive,0,all_n_presupposition,44e,2,all_n_presupposition
Do the five waiters that approached Paul depart?,There are exactly six waiters that approached Paul.,interrogative,Not_In_Example,Not_In_Example,negated,2,all_n_presupposition,45c,2,all_n_presupposition
Do the five waiters that approached Paul depart?,There are exactly five doctors that approached Paul.,interrogative,Not_In_Example,Not_In_Example,neutral,1,all_n_presupposition,46n,2,all_n_presupposition
The five waiters that approached Paul might depart.,There are exactly five waiters that approached Paul.,modal,Not_In_Example,Not_In_Example,positive,0,all_n_presupposition,47e,2,all_n_presupposition
The five waiters that approached Paul might depart.,There are exactly six waiters that approached Paul.,modal,Not_In_Example,Not_In_Example,negated,2,all_n_presupposition,48c,2,all_n_presupposition
The five waiters that approached Paul might depart.,There are exactly five doctors that approached Paul.,modal,Not_In_Example,Not_In_Example,neutral,1,all_n_presupposition,49n,2,all_n_presupposition
"If the five waiters that approached Paul depart, it's okay.",There are exactly five waiters that approached Paul.,conditional,Not_In_Example,Not_In_Example,positive,0,all_n_presupposition,50e,2,all_n_presupposition
"If the five waiters that approached Paul depart, it's okay.",There are exactly six waiters that approached Paul.,conditional,Not_In_Example,Not_In_Example,negated,2,all_n_presupposition,51c,2,all_n_presupposition
"If the five waiters that approached Paul depart, it's okay.",There are exactly five doctors that approached Paul.,conditional,Not_In_Example,Not_In_Example,neutral,1,all_n_presupposition,52n,2,all_n_presupposition
The five waiters that approached Paul don't depart.,The five waiters that approached Paul depart.,Not_In_Example,negated,unembedded,Not_In_Example,2,all_n_presupposition,53c,2,all_n_presupposition
Do the five waiters that approached Paul depart?,The five waiters that approached Paul depart.,Not_In_Example,interrogative,unembedded,Not_In_Example,1,all_n_presupposition,54n,2,all_n_presupposition
The five waiters that approached Paul might depart.,The five waiters that approached Paul depart.,Not_In_Example,modal,unembedded,Not_In_Example,1,all_n_presupposition,55n,2,all_n_presupposition
"If the five waiters that approached Paul depart, it's okay.",The five waiters that approached Paul depart.,Not_In_Example,conditional,unembedded,Not_In_Example,1,all_n_presupposition,56n,2,all_n_presupposition
The five boys who research that university had examined those reports.,There are exactly five boys who research that university.,unembedded,Not_In_Example,Not_In_Example,positive,0,all_n_presupposition,57e,3,all_n_presupposition
The five boys who research that university had examined those reports.,There are dozens of boys who research that university.,unembedded,Not_In_Example,Not_In_Example,negated,2,all_n_presupposition,58c,3,all_n_presupposition
The five boys who research that university had examined those reports.,There are exactly five children who research that university.,unembedded,Not_In_Example,Not_In_Example,neutral,1,all_n_presupposition,59n,3,all_n_presupposition
The five boys who research that university hadn't examined those reports.,There are exactly five boys who research that university.,negated,Not_In_Example,Not_In_Example,positive,0,all_n_presupposition,60e,3,all_n_presupposition
The five boys who research that university hadn't examined those reports.,There are dozens of boys who research that university.,negated,Not_In_Example,Not_In_Example,negated,2,all_n_presupposition,61c,3,all_n_presupposition
The five boys who research that university hadn't examined those reports.,There are exactly five children who research that university.,negated,Not_In_Example,Not_In_Example,neutral,1,all_n_presupposition,62n,3,all_n_presupposition
Had the five boys who research that university examined those reports?,There are exactly five boys who research that university.,interrogative,Not_In_Example,Not_In_Example,positive,0,all_n_presupposition,63e,3,all_n_presupposition
Had the five boys who research that university examined those reports?,There are dozens of boys who research that university.,interrogative,Not_In_Example,Not_In_Example,negated,2,all_n_presupposition,64c,3,all_n_presupposition
Had the five boys who research that university examined those reports?,There are exactly five children who research that university.,interrogative,Not_In_Example,Not_In_Example,neutral,1,all_n_presupposition,65n,3,all_n_presupposition
The five boys who research that university might have examined those reports.,There are exactly five boys who research that university.,modal,Not_In_Example,Not_In_Example,positive,0,all_n_presupposition,66e,3,all_n_presupposition
The five boys who research that university might have examined those reports.,There are dozens of boys who research that university.,modal,Not_In_Example,Not_In_Example,negated,2,all_n_presupposition,67c,3,all_n_presupposition
The five boys who research that university might have examined those reports.,There are exactly five children who research that university.,modal,Not_In_Example,Not_In_Example,neutral,1,all_n_presupposition,68n,3,all_n_presupposition
"If the five boys who research that university had examined those reports, it's okay.",There are exactly five boys who research that university.,conditional,Not_In_Example,Not_In_Example,positive,0,all_n_presupposition,69e,3,all_n_presupposition
"If the five boys who research that university had examined those reports, it's okay.",There are dozens of boys who research that university.,conditional,Not_In_Example,Not_In_Example,negated,2,all_n_presupposition,70c,3,all_n_presupposition
"If the five boys who research that university had examined those reports, it's okay.",There are exactly five children who research that university.,conditional,Not_In_Example,Not_In_Example,neutral,1,all_n_presupposition,71n,3,all_n_presupposition
The five boys who research that university hadn't examined those reports.,The five boys who research that university had examined those reports.,Not_In_Example,negated,unembedded,Not_In_Example,2,all_n_presupposition,72c,3,all_n_presupposition
Had the five boys who research that university examined those reports?,The five boys who research that university had examined those reports.,Not_In_Example,interrogative,unembedded,Not_In_Example,1,all_n_presupposition,73n,3,all_n_presupposition
The five boys who research that university might have examined those reports.,The five boys who research that university had examined those reports.,Not_In_Example,modal,unembedded,Not_In_Example,1,all_n_presupposition,74n,3,all_n_presupposition
"If the five boys who research that university had examined those reports, it's okay.",The five boys who research that university had examined those reports.,Not_In_Example,conditional,unembedded,Not_In_Example,1,all_n_presupposition,75n,3,all_n_presupposition
The two boys that divorced are needing to bike to a mountain.,There are exactly two boys that divorced.,unembedded,Not_In_Example,Not_In_Example,positive,0,all_n_presupposition,76e,4,all_n_presupposition
The two boys that divorced are needing to bike to a mountain.,There are dozens of boys that divorced.,unembedded,Not_In_Example,Not_In_Example,negated,2,all_n_presupposition,77c,4,all_n_presupposition
The two boys that divorced are needing to bike to a mountain.,There are exactly two museums that divorced.,unembedded,Not_In_Example,Not_In_Example,neutral,1,all_n_presupposition,78n,4,all_n_presupposition
The two boys that divorced aren't needing to bike to a mountain.,There are exactly two boys that divorced.,negated,Not_In_Example,Not_In_Example,positive,0,all_n_presupposition,79e,4,all_n_presupposition
The two boys that divorced aren't needing to bike to a mountain.,There are dozens of boys that divorced.,negated,Not_In_Example,Not_In_Example,negated,2,all_n_presupposition,80c,4,all_n_presupposition
The two boys that divorced aren't needing to bike to a mountain.,There are exactly two museums that divorced.,negated,Not_In_Example,Not_In_Example,neutral,1,all_n_presupposition,81n,4,all_n_presupposition
Are the two boys that divorced needing to bike to a mountain?,There are exactly two boys that divorced.,interrogative,Not_In_Example,Not_In_Example,positive,0,all_n_presupposition,82e,4,all_n_presupposition
Are the two boys that divorced needing to bike to a mountain?,There are dozens of boys that divorced.,interrogative,Not_In_Example,Not_In_Example,negated,2,all_n_presupposition,83c,4,all_n_presupposition
Are the two boys that divorced needing to bike to a mountain?,There are exactly two museums that divorced.,interrogative,Not_In_Example,Not_In_Example,neutral,1,all_n_presupposition,84n,4,all_n_presupposition
The two boys that divorced might be needing to bike to a mountain.,There are exactly two boys that divorced.,modal,Not_In_Example,Not_In_Example,positive,0,all_n_presupposition,85e,4,all_n_presupposition
The two boys that divorced might be needing to bike to a mountain.,There are dozens of boys that divorced.,modal,Not_In_Example,Not_In_Example,negated,2,all_n_presupposition,86c,4,all_n_presupposition
The two boys that divorced might be needing to bike to a mountain.,There are exactly two museums that divorced.,modal,Not_In_Example,Not_In_Example,neutral,1,all_n_presupposition,87n,4,all_n_presupposition
"If the two boys that divorced are needing to bike to a mountain, it's okay.",There are exactly two boys that divorced.,conditional,Not_In_Example,Not_In_Example,positive,0,all_n_presupposition,88e,4,all_n_presupposition
"If the two boys that divorced are needing to bike to a mountain, it's okay.",There are dozens of boys that divorced.,conditional,Not_In_Example,Not_In_Example,negated,2,all_n_presupposition,89c,4,all_n_presupposition
"If the two boys that divorced are needing to bike to a mountain, it's okay.",There are exactly two museums that divorced.,conditional,Not_In_Example,Not_In_Example,neutral,1,all_n_presupposition,90n,4,all_n_presupposition
The two boys that divorced aren't needing to bike to a mountain.,The two boys that divorced are needing to bike to a mountain.,Not_In_Example,negated,unembedded,Not_In_Example,2,all_n_presupposition,91c,4,all_n_presupposition
Are the two boys that divorced needing to bike to a mountain?,The two boys that divorced are needing to bike to a mountain.,Not_In_Example,interrogative,unembedded,Not_In_Example,1,all_n_presupposition,92n,4,all_n_presupposition
The two boys that divorced might be needing to bike to a mountain.,The two boys that divorced are needing to bike to a mountain.,Not_In_Example,modal,unembedded,Not_In_Example,1,all_n_presupposition,93n,4,all_n_presupposition
"If the two boys that divorced are needing to bike to a mountain, it's okay.",The two boys that divorced are needing to bike to a mountain.,Not_In_Example,conditional,unembedded,Not_In_Example,1,all_n_presupposition,94n,4,all_n_presupposition
