premise,hypothesis,prediction,pred_label,gold_label
All ten guys that proved to boast were divorcing.,There are exactly ten guys that proved to boast.,"{'entailment': 69.3, 'neutral': 28.1, 'contradiction': 2.6}",entailment,entailment
All ten guys that proved to boast were divorcing.,There are exactly eleven guys that proved to boast.,"{'entailment': 0.6, 'neutral': 1.8, 'contradiction': 97.6}",contradiction,contradiction
All ten guys that proved to boast were divorcing.,There are exactly ten senators that proved to boast.,"{'entailment': 0.1, 'neutral': 99.5, 'contradiction': 0.4}",contradiction,neutral
All ten guys that proved to boast weren't divorcing.,There are exactly ten guys that proved to boast.,"{'entailment': 70.4, 'neutral': 27.9, 'contradiction': 1.7}",entailment,entailment
All ten guys that proved to boast weren't divorcing.,There are exactly eleven guys that proved to boast.,"{'entailment': 0.5, 'neutral': 2.0, 'contradiction': 97.5}",contradiction,contradiction
All ten guys that proved to boast weren't divorcing.,There are exactly ten senators that proved to boast.,"{'entailment': 0.1, 'neutral': 99.7, 'contradiction': 0.2}",contradiction,neutral
Were all ten guys that proved to boast divorcing?,There are exactly ten guys that proved to boast.,"{'entailment': 2.3, 'neutral': 88.6, 'contradiction': 9.1}",contradiction,entailment
Were all ten guys that proved to boast divorcing?,There are exactly eleven guys that proved to boast.,"{'entailment': 0.1, 'neutral': 3.9, 'contradiction': 96.0}",contradiction,contradiction
Were all ten guys that proved to boast divorcing?,There are exactly ten senators that proved to boast.,"{'entailment': 0.2, 'neutral': 95.8, 'contradiction': 4.1}",contradiction,neutral
All ten guys that proved to boast might have been divorcing.,There are exactly ten guys that proved to boast.,"{'entailment': 71.0, 'neutral': 26.8, 'contradiction': 2.2}",entailment,entailment
All ten guys that proved to boast might have been divorcing.,There are exactly eleven guys that proved to boast.,"{'entailment': 0.3, 'neutral': 1.2, 'contradiction': 98.4}",contradiction,contradiction
All ten guys that proved to boast might have been divorcing.,There are exactly ten senators that proved to boast.,"{'entailment': 0.1, 'neutral': 99.5, 'contradiction': 0.3}",contradiction,neutral
"If all ten guys that proved to boast were divorcing, it's okay.",There are exactly ten guys that proved to boast.,"{'entailment': 11.6, 'neutral': 86.2, 'contradiction': 2.2}",neutral,entailment
"If all ten guys that proved to boast were divorcing, it's okay.",There are exactly eleven guys that proved to boast.,"{'entailment': 0.5, 'neutral': 4.2, 'contradiction': 95.3}",contradiction,contradiction
"If all ten guys that proved to boast were divorcing, it's okay.",There are exactly ten senators that proved to boast.,"{'entailment': 0.1, 'neutral': 99.7, 'contradiction': 0.3}",contradiction,neutral
All ten guys that proved to boast weren't divorcing.,All ten guys that proved to boast were divorcing.,"{'entailment': 0.1, 'neutral': 0.2, 'contradiction': 99.7}",contradiction,contradiction
Were all ten guys that proved to boast divorcing?,All ten guys that proved to boast were divorcing.,"{'entailment': 14.6, 'neutral': 80.9, 'contradiction': 4.5}",neutral,neutral
All ten guys that proved to boast might have been divorcing.,All ten guys that proved to boast were divorcing.,"{'entailment': 30.2, 'neutral': 65.6, 'contradiction': 4.2}",neutral,neutral
"If all ten guys that proved to boast were divorcing, it's okay.",All ten guys that proved to boast were divorcing.,"{'entailment': 74.3, 'neutral': 23.7, 'contradiction': 2.0}",entailment,neutral
All ten reports that can bore some waiter are disagreeing with Naomi.,There are exactly ten reports that can bore some waiter.,"{'entailment': 59.7, 'neutral': 38.9, 'contradiction': 1.4}",entailment,entailment
All ten reports that can bore some waiter are disagreeing with Naomi.,There are exactly eleven reports that can bore some waiter.,"{'entailment': 0.5, 'neutral': 3.1, 'contradiction': 96.4}",contradiction,contradiction
All ten reports that can bore some waiter are disagreeing with Naomi.,There are exactly ten waitresses that can bore some waiter.,"{'entailment': 1.1, 'neutral': 88.3, 'contradiction': 10.6}",contradiction,neutral
